,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
 on your stuff earlier. but like when you go to the computer lab like it's (stressful right now) and,like,you just want the computers to work and the printers to work and like i'm sure that people are not a, Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
  like wh- the purpose of a perm though is to,like,", give you curls or something?   ", Media Union Service Encounters ,SVC999MX104,S52,M,SU,NS,
"lly one of the reasons why i decided to come here to the University of Michigan. came on a tour, was",like,alright (well it's) not bad (no it's) not bad came in here and whoa. absolutely loved this building , Freshman Orientation Tour ,TOU999JU030,S1,M,SU,NS,
 way out here.   they'd have to,like,"have some sort of ethylene, sequestering (xx)   ", Graduate Cellular Biotechnology Lecture ,LES405JG078,S3,M,JG,NS,
"ng at him like, that man is like really gross she's like use a knife.  cuz like cuz he was",like," using his, hands and like, torturing the sustenances and like  ", Graduate French Cinema Seminar ,SEM545MG083,S3,F,JF,NS,
"  does Michigan reserve a certain amount of seats for in-state students in,",like,medical school and law school? cuz i was reading in a bunch of other schools especially (as it perta, Politics of Higher Education ,SEM495SU111,S14,F,SU,NS,
  right  things  ,like,make you     ne, Intro Biology Study Group ,SGR175MU126,S4,F,SU,NS,
" people, irregardless like, just what i'm hearing like in discussion like that's kind of seems to be",like,"the,  (xx)    "," Sex, Gender, and the Body Lecture ",LES565SU137,S6,F,SU,NS,
"  no the the, pull it back, what's that snail,",like,", that thing that kinda curves around and stuff? looks like a little knob (xx) like this right here.", Biopsychology Lab ,LAB500SU044,S7,M,SU,NS,
  how are we supposed to?  ,like,put in F-of-zero equals X.   ok, Math Study Group ,SGR385SU057,S2,F,SU,NS,
   he's such a sh-  he's such a ham.,like,", it's great just watching him. he's just like (xx)  (almost) (xx) i know, like he's total", Astronomy Peer Tutorial ,OFC150MU042,S5,F,SU,NS,
"  well it was saying how um, there's a medicalization of like the male sexuality also",like,"um, uh, i don't really know where to go with that but,  (xx)    "," Sex, Gender, and the Body Lecture ",LES565SU137,S19,F,JU,NS,
  sh- sh- should i leave it just,like,that?   that's great. thank you, Graduate Online Search and Database Lecture ,LES335JG065,S21,M,JG,NNS,
"n, systems of agricultural production,  that's  that's my, my thing, basically,",like,"like what i was telling you and then that's the other thing, the other mm, you can also, go for, agr",Graduate Student Research Interview 2,INT425JG002,S1,M,JG,NNS,
 certainly not anything rational a priori. uh as as putting us in moral community with God and being,like,God in our morality we simply can't do that our morality is for human beings. now the passage i cite, Philosophy Colloquium ,COL475MX082,S2,M,SF,NS,
osis two. okay good. now Natasha and Joel have bad breath and they're crabby. mkay. that looked just,like,"dad, right? mkay, um, Loretta has bad breath, but Bryant's cheerful. is that parental or, recombinan", Intro Biology Discussion Section ,DIS175JU081,S1,F,JF,NS,
"slavery, and how_ i'm sorry how, um, i- like putting women, like on a lower level like treating 'em_",like,"whips and chains is kind of like, bringing them back to when, um slaves were used as like objects, s"," Sex, Gender, and the Body Lecture ",LES565SU137,S19,F,JU,NS,
"rible_ no i mean, and he looks, like evil in that picture, as far as i'm concerned and like, just to",like,"intrude on these girls like they did and the close-up on their faces they're like sobbing,   ", Ethics Issues in Journalism Lecture ,LES220SU140,S12,F,SU,NS,
n the times where the words are actually real words. and what they do is sometimes you'll get a word,like,"bread first, and then the next thing you'll get is a word like butter, which is semantically rel- se", Cognitive Psychology Research Lab ,LAB500SU089,S1,M,SG,NS,
olds number?   like is it just,like,a regular Reynolds number?   , Heat and Mass Transfer Office Hours ,OFC195SU116,S13,M,SU,NS,
summer.   di- perhaps then that,like,", a a way for philosophers to define like, awareness or con- conscious experiences to say it's it's ", Objectivism Student Group ,SGR999MX115,S4,F,SU,NS,
ke it didn't have to be like a four credit ordeal maybe like a one or two and where you would go and,like,", i don't know just like once a week and meet and like i mean just like what we do kind of  ", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"nk that the media was gonna end up supporting, a lot of the stereotypes that we were coming up with?",like,", you know like  you said  like,  you know    ", American Family Group Project Meeting ,SGR565SU144,S2,F,SU,NS,
"he second hour, um, asks um what are the implications of remembering, the Holocaust through a symbol",like,"Anne Frank. and um, i want to start with, um, with the essay that i recommended you read that i incl", Perspectives on the Holocaust Lecture ,LEL542SU096,S1,F,JF,NRN,
"within the square, then the travel time to that point is gonna be less than or equal to Z. then it's",like,asking what's the probability that the point i picked falls in the square? that probability is equal, Graduate Industrial Operations Engineering Lecture ,LES330JG052,S1,M,SF,NRN,
"  uh, meaning what at the end? like this thing is_ goes",like,this  and there was an expansion right here and... okay what , Hydraulics Problem Solving Lab ,LAB205SU045,S1,M,SG,NRN,
"g this to the limit. he says take my arm and let's walk, you know so that they kind of do a, h- it's",like,"a victory lap for him. you see, this is the he says this is the greatest night of his life. he's now", American Literature Lecture ,LES300SU103,S1,M,SF,NS,
"en you have several kilometers of ice sitting on top of the crust, it depresses the rocks. very much",like,"putting a big chunk of rock on a sponge, okay the sponge, uh is depressed downwards. rocks, that for", Dynamic Earth Lecture ,LES305MU108,S1,M,SF,NNS,
"amental particles have, seem to have wave-like properties and sometimes they seem to have, particle-",like,"properties depending on the circumstances. so, some people, think it's, you know that it's both a wa", Objectivism Student Group ,SGR999MX115,S3,M,SG,NS,
